Player,Team,PlayerRating
L. Kubot,1,6140
A. De. Minaur,2,90
S. Gille,3,1104
M. Demoliner,4,1748
N. Mahut,5,3950
D. Evans,6,254
L. Harris,7,164
D. Molchanov,8,1294
M. Pavic,9,3910
L. Djere,10,0
M. Daniell,11,1710
J. Munar,12,360
J. Murray,13,5085
N. Monroe,14,920
M. Copil,15,225
R. Berankis,16,90
H. Kotinen,17,3915
R. Lendstedt,18,5080
F. Krajinovic,19,0
R. Albot,20,1440
R. Haase,21,2440
K. Skupski,22,1855
J. Nedunchezhiyan,23,1150
L. Bambridge,24,1800
J. Rojer,25,3950
R. Carballes Baena,26,315
P. Carreno Busta,27,495
J. Erlich,28,904
O. Marach,29,3750
R. Jebavy,30,1648
L. Paes,31,1228
J. Draper,32,0
M. Melo,1,5870
M. Reid,2,953
J. Vliegen,3,1444
D. Sharan,4,1910
E. Roger-Vasselin,5,2590
L. Glasspool,6,46
C. Ruud,7,135
I. Zelenay,8,1282
B. Soares,9,5210
J. Tipsarevic,10,360
W. Koolhof,11,3015
C. Norrie,12,315
N. Skupski,13,2560
M. Zverev,14,935
U. Humbert,15,80
M. Fucsovic,16,700
J. Peers,17,3620
T. Puetz,18,1240
D. Lajovic,19,675
M. Jaziri,20,1125
F. Nielsen,21,2012
J-P. Smith,22,898
P. Raja,23,1073
J. O'Mara,24,1733
H. Tecau,25,3770
L. Sonego,26,105
F. Lopez,27,1535
A. Sitak,28,1855
J. Melzer,29,1831
P. Oswald,30,1275
B. Paire,31,688
P. Jubb,32,0
B. McLachlan,33,2380
F. Delbonis,34,670
G. Duran,35,1223
K. Krawietz,36,3604
L. Broady,37,210
L. Mayer,38,1125
M. Arevalo,39,1254
B. Bryan,40,2510
S. Arends,41,986
S. Gonzalez,42,1925
R. Bopanna,43,1795
D. Inglot,44,2370
I. Dodig,45,2100
E. Hoyt,46,96
P. Herbert,47,3680
N. Mektic,48,4590
G. Grannollers,49,1223
M. Purcell,50,1010
M. Ebden,51,700
R. Ram,52,3580
R. Arneodo,53,927
J. Clarke,54,0
L. Hewitt,55,90
R. Klaasen,56,5080
M. Cecchinato,57,90
F. Martin,58,2786
C. Garin,59,60
M. Gonzalez,60,2950
C-P. Hsieh,61,1364
H. Delline,62,290
A. Bublik,63,141
J. Cabal,64,5350
J. Struff,33,2085
A. Molteni,34,1488
J. Londero,35,115
A. Mies,36,3604
S. Clayton,37,428
J. Sousa,38,2160
M. Reyes-Varela,39,1198
M. Bryan,40,8770
M. Middelkoop,41,1900
A. Qureshi,42,1490
P. Cuevas,43,539
A. Krajicek,44,2110
F. Polasek,45,1036
L. Johnson,46,29
A. Murray,47,500
F. Skugor,48,3730
M. Grannollers,49,2950
L. Saville,50,1061
V. Pospisil,51,0
J. Salisbury,52,3735
D. Dzumhur,53,45
J. Ward,54,25
J. Thompson,55,242
M. Venus,56,4900
A. Seppi,57,180
H. Nys,58,809
N. Jarry,59,1495
H. Zeballos,60,4085
C. Rungkat,61,1258
G. Pella,62,1575
M. Kukushkin,63,360
R. Farah,64,5350
