L. Kubot
A. De. Minaur
S. Gille
M. Demoliner
N. Mahut
D. Evans
L. Harris
D. Molchanov
M. Pavic
L. Djere
M. Daniell
J. Munar
J. Murray
N. Monroe
M. Copil
R. Berankis
H. Kotinen
R. Lendstedt
F. Krajinovic
R. Albot
R. Haase
K. Skupski
J. Nedunchezhiyan
L. Bambridge
J. Rojer
R. Carballes Baena
P. Carreno Busta
J. Erlich
O. Marach
R. Jebavy
L. Paes
J. Draper
M. Melo
M. Reid
J. Vliegen
D. Sharan
E. Roger-Vasselin
L. Glasspool
C. Ruud
I. Zelenay
B. Soares
J. Tipsarevic
W. Koolhof
C. Norrie
N. Skupski
M. Zverev
U. Humbert
M. Fucsovic
J. Peers
T. Puetz
D. Lajovic
M. Jaziri
F. Nielsen
J-P. Smith
P. Raja
J. O'Mara
H. Tecau
L. Sonego
F. Lopez
A. Sitak
J. Melzer
P. Oswald
B. Paire
P. Jubb
B. McLachlan
F. Delbonis
G. Duran
K. Krawietz
L. Broady
L. Mayer
M. Arevalo
B. Bryan
S. Arends
S. Gonzalez
R. Bopanna
D. Inglot
I. Dodig
E. Hoyt
P. Herbert
N. Mektic
G. Grannollers
M. Purcell
M. Ebden
R. Ram
R. Arneodo
J. Clarke
L. Hewitt
R. Klaasen
M. Cecchinato
F. Martin
C. Garin
M. Gonzalez
C-P. Hsieh
H. Delline
A. Bublik
J. Cabal
J. Struff
A. Molteni
J. Londero
A. Mies
S. Clayton
J. Sousa
M. Reyes-Varela
M. Bryan
M. Middelkoop
A. Qureshi
P. Cuevas
A. Krajicek
F. Polasek
L. Johnson
A. Murray
F. Skugor
M. Grannollers
L. Saville
V. Pospisil
J. Salisbury
D. Dzumhur
J. Ward
J. Thompson
M. Venus
A. Seppi
H. Nys
N. Jarry
H. Zeballos
C. Rungkat
G. Pella
M. Kukushkin
R. Farah
