Match,Team 1,,Team 2,,T1 sets won,T2 sets won,
1,L. Kubot,M. Melo,B. McLachlan,J. Struff,3,1,
2,A. De. Minaur,M. Reid,F. Delbonis,A. Molteni,3,0,
3,S. Gille,J. Vliegen,G. Duran,J. Londero,3,1,
4,M. Demoliner,D. Sharan,K. Krawietz,A. Mies,3,0,
5,N. Mahut,E. Roger-Vasselin,L. Broady,S. Clayton,3,0,
6,D. Evans,L. Glasspool,L. Mayer,J. Sousa,1,3,
7,L. Harris,C. Ruud,M. Arevalo,M. Reyes-Varela,1,3,
8,D. Molchanov,I. Zelenay,B. Bryan,M. Bryan,0,3,
9,M. Pavic,B. Soares,S. Arends,M. Middelkoop,3,2,
10,L. Djere,J. Tipsarevic,S. Gonzalez,A. Qureshi,1,3,
11,M. Daniell,W. Koolhof,R. Bopanna,P. Cuevas,3,1,
12,J. Munar,C. Norrie,D. Inglot,A. Krajicek,3,2,
13,J. Murray,N. Skupski,I. Dodig,F. Polasek,2,3,
14,N. Monroe,M. Zverev,E. Hoyt,L. Johnson,3,0,
15,M. Copil,U. Humbert,P. Herbert,A. Murray,1,3,
16,R. Berankis,M. Fucsovic,N. Mektic,F. Skugor,0,3,
17,H. Kotinen,J. Peers,G. Grannollers,M. Grannollers,3,0,
18,R. Lendstedt,T. Puetz,M. Purcell,L. Saville,3,1,
19,F. Krajinovic,D. Lajovic,M. Ebden,V. Pospisil,0,3,
20,R. Albot,M. Jaziri,R. Ram,J. Salisbury,0,3,
21,R. Haase,F. Nielsen,R. Arneodo,D. Dzumhur,3,0,
22,K. Skupski,J-P. Smith,J. Clarke,J. Ward,3,0,
23,J. Nedunchezhiyan,P. Raja,L. Hewitt,J. Thompson,0,3,
24,L. Bambridge,J. O'Mara,R. Klaasen,M. Venus,0,3,
25,J. Rojer,H. Tecau,M. Cecchinato,A. Seppi,3,0,
26,R. Carballes Baena,L. Sonego,F. Martin,H. Nys,0,3,
27,P. Carreno Busta,F. Lopez,C. Garin,N. Jarry,3,1,
28,J. Erlich,A. Sitak,M. Gonzalez,H. Zeballos,0,3,
29,O. Marach,J. Melzer,C-P. Hsieh,C. Rungkat,3,2,
30,R. Jebavy,P. Oswald,H. Delline,G. Pella,3,0,Retired
31,L. Paes,B. Paire,A. Bublik,M. Kukushkin,2,3,
32,J. Draper,P. Jubb,J. Cabal,R. Farah,0,3,
33,L. Kubot,M. Melo,A. De Minaur,M. Reid,3,1,
34,S. Gille,J. Vliegen,M. Demoliner,D. Sharan,2,3,
35,N. Mahut,E. Roger-Vasselin,L. Mayer,J. Sousa,3,1,
36,M. Arevalo,M. Reyes-Varela,B. Bryan,M. Bryan,1,3,
37,M. Pavic,B. Soares,S. Gonzalez,A. Qureshi,2,3,
38,M. Daniell,W. Koolhof,J. Munar,C. Norrie,3,2,
39,I. Dodig,F. Polasek,N. Monroe,M. Zverev,3,0,
40,P. Herbert,A. Murray,N. Mektic,F. Skugor,1,3,
41,H. Kotinen,J. Peers,R. Lindstedt,T. Puetz,3,2,
42,M. Ebden,V. Pospisil,R. Ram,J. Salisbury,0,3,
43,R. Haase,F. Nielsen,K. Skupski,J-P. Smith,3,0,
44,L. Hewitt,J. Thompson,R. Klaasen,M. Venus,0,3,
45,J. Rojer,H. Tecau,F. Martin,H. Nys,3,0,
46,P. Carreno Busta,F. Lopez,M. Gonzalez,H. Zeballos,0,3,
47,O. Marach,J. Melzer,R. Jebavy,P. Oswald,1,3,
48,A. Bublik,M. Kukushkin,J. Cabal,R. Farah,1,3,
49,L. Kubot,M. Melo,M. Demoliner,D. Sharan,3,1,
50,N. Mahut,E. Roger-Vasselin,B. Bryan,M. Bryan,3,1,
51,S. Gonzalez,A. Qureshi,M. Daniell,W. Koolhof,1,3,
52,I. Dodig,F. Polasek,N. Mektic,F. Skugor,3,0,
53,H. Kotinen,J. Peers,R. Ram,J. Salisbury,3,2,
54,R. Haase,F. Nielsen,R. Klaasen,M. Venus,0,3,
55,J. Rojer,H. Tecau,M. Gonzalez,H. Zeballos,3,1,
56,R. Jebavy,P. Oswald,J. Cabal,R. Farah,0,3,
57,L. Kubot,M. Melo,N. Mahut,E. Roger-Vasselin,1,3,
58,M. Daniell,W. Koolhof,I. Dodig,F. Polasek,0,3,
59,H. Kotinen,J. Peers,R. Klaasen,M. Venus,2,3,
60,J. Rojer,H. Tecau,J. Cabal,R. Farah,2,3,
61,N. Mahut,E. Roger-Vasselin,I. Dodig,F. Polasek,3,0,
62,R. Klaasen,M. Venus,J. Cabal,R. Farah,1,3,
63,N. Mahut,E. Roger-Vasselin,J. Cabal,R. Farah,2,3,
